Record	Species	Country	Locality	Latitude Y	Longitude X	Reliability	host	year	authority
1	Amblyomma astrion	Angola	Alto Catumbela	-12.95	14.75	G1	not individually recorded	before 1942	195
2	Amblyomma astrion	Angola	Barra do Dande	-8.466666667	13.36666667	G1	Syncerus nanus	1962	309
3	Amblyomma astrion	Angola	"Bom Jesus, Luanda"	-9.166666667	13.56666667	G1	Bos taurus	1954	309
4	Amblyomma astrion	Angola	Cacondo (Pungo Andongo)	-9.666666667	15.58333333	G1	"Capra hircus, Ovis aries"	1950	309
5	Amblyomma astrion	Angola	Caputo	-8.5	14.75	G1	Syncerus caffer nanus	1953	295
6	Amblyomma astrion	Angola	Cassoneca	-9.2	13.86666667	G1	Syncerus nanus	1948	309
7	Amblyomma astrion	Angola	Cubal do Hanho	-12.76666667	13.93333333	G1	not individually recorded	before 1942	195
8	Amblyomma astrion	Angola	Dembos	-8.716666667	14.45	G1	"Syncerus caffer nanus, Potamogale sp."	1952	295
9	Amblyomma astrion	Angola	Dombe Grande	-12.96666667	13.1	G1	Bos taurus	"1956, 1962"	309
10	Amblyomma astrion	Angola	Luanda	-8.816666667	13.25	G1	not individually recorded	1909	195
11	Amblyomma astrion	Angola	Nova Redondo (=Sumbe)	-11.2	13.83333333	A1	Syncerus caffer	1926	360
12	Amblyomma astrion	Angola	Nova Redondo (=Sumbe)	-11.2	13.83333333	G1	Syncerus nanus	1951	309
13	Amblyomma astrion	Angola	Quibaxe	-8.5	14.6	G1	"Syncerus caffer nanus, Potamochoerus porcus"	1952	295
14	Amblyomma astrion	Angola	Quifangondo	-8.766666667	13.43333333	G1	Bos taurus	1943	"309, 195"
15	Amblyomma astrion	Angola	"Quilengues, Huila"	-14.06666667	14.08333333	G1	Bos taurus	1950	309
16	Amblyomma astrion	Angola	Vila Nova de Seles	-11.4	14.3	G1	"Syncerus nanus, Bos taurus"	"1951, 1954"	309
17	Amblyomma astrion	CAR	Bangassou	4.75	22.83333333	A1	elephant	1961	"244, 193"
18	Amblyomma astrion	CAR	Bangui	4.366666667	18.58333333	A1	cattle	1951	"244, 193"
19	Amblyomma astrion	CAR	Bouca	6.5	18.3	A1	elephant	1961	"244, 193"
20	Amblyomma astrion	CAR	Kouango	5.016666667	20.03333333	A1	elephant	1961	"244, 193"
21	Amblyomma astrion	DR Congo (former Zaire)	Banana	-6.016666667	12.4	G1	not recorded	1940	39
22	Amblyomma astrion	DR Congo (former Zaire)	Banzyville	4.25	21.16666667	A1	buffalo	1930	39
23	Amblyomma astrion	DR Congo (former Zaire)	Bosobolo	4.216666667	19.91666667	A1	buffalo	"1953, 1959"	39
24	Amblyomma astrion	DR Congo (former Zaire)	Chutes Guillaume	-7.666666667	17.25	A1	buffalo	1945	39
25	Amblyomma astrion	DR Congo (former Zaire)	Coquilhatville	0.116666667	18.33333333	A1	cattle	1945	39
26	Amblyomma astrion	DR Congo (former Zaire)	Ekuta	3	18.83333333	A1	buffalo	before 1966	39
27	Amblyomma astrion	DR Congo (former Zaire)	Gemena	3.3	19.8	A1	not recorded	1937	39
28	Amblyomma astrion	DR Congo (former Zaire)	Guillaume Falls	-7.666666667	17.35	G1	buffalo	1950	39
29	Amblyomma astrion	DR Congo (former Zaire)	Kawa (Lake Albert)	2	31	A1	'wild pig'	before 1966	39
30	Amblyomma astrion	DR Congo (former Zaire)	Leopoldville (=Kinshasa)	-4.3	15.3	G1	not individually recorded	before 1962	193
31	Amblyomma astrion	DR Congo (former Zaire)	"Yaenengu, Tshuapa"	2.466666667	23.25	G1	not individually recorded	before 1962	193
32	Amblyomma astrion	DR Congo (former Zaire)	Zongo: Babegwa Village	4.683333333	18.63333333	A1	buffalo	1929	39
33	Amblyomma astrion	DR Congo (former Zaire)	Zongo: Yaloba village	4.683333333	18.63333333	A1	buffalo	1929	39
